姓名,录取学段,录取区,招聘类型,学历,院校,职称
教师_1,初中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_2,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_3,初中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_4,初中,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,正高级
教师_5,初中,越秀区,应届毕业生,本科,其他高校,副高级
教师_6,初中,白云区,应届毕业生,本科,其他普通师范院校,副高级
教师_7,初中,白云区,社会人员,本科,其他高校,副高级
教师_8,高中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_9,高中,越秀区,社会人员,本科,其他高校,中级及以下
教师_10,初中,白云区,应届毕业生,硕士,清华,副高级
教师_11,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_12,初中,越秀区,社会人员,硕士,其他高校,中级及以下
教师_13,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_14,高中,越秀区,应届毕业生,本科,其他高校,中级及以下
教师_15,小学,白云区,应届毕业生,本科,其他普通师范院校,正高级
教师_16,小学,白云区,应届毕业生,本科,其他高校,中级及以下
教师_17,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_18,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_19,高中,越秀区,社会人员,本科,其他高校,正高级
教师_20,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_21,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_22,高中,越秀区,应届毕业生,本科,其他普通师范院校,正高级
教师_23,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_24,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_25,小学,越秀区,社会人员,硕士,其他普通师范院校,正高级
教师_26,初中,白云区,社会人员,博士,部属师范院校（除北京师范大学）,正高级
教师_27,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_28,高中,白云区,应届毕业生,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_29,初中,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,正高级
教师_30,初中,越秀区,社会人员,硕士,其他高校,副高级
教师_31,小学,白云区,应届毕业生,本科,清华,中级及以下
教师_32,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_33,初中,白云区,应届毕业生,本科,其他高校,副高级
教师_34,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_35,小学,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_36,初中,白云区,社会人员,本科,其他高校,副高级
教师_37,初中,越秀区,应届毕业生,本科,其他高校,正高级
教师_38,初中,白云区,社会人员,硕士,其他普通师范院校,中级及以下
教师_39,高中,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,正高级
教师_40,高中,白云区,社会人员,本科,其他高校,副高级
教师_41,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_42,初中,白云区,应届毕业生,本科,部属师范院校（除北京师范大学）,副高级
教师_43,高中,越秀区,社会人员,本科,其他高校,中级及以下
教师_44,小学,白云区,应届毕业生,本科,其他普通师范院校,正高级
教师_45,高中,越秀区,应届毕业生,本科,其他普通师范院校,副高级
教师_46,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_47,小学,白云区,应届毕业生,本科,其他普通师范院校,副高级
教师_48,小学,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_49,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_50,初中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_51,初中,越秀区,应届毕业生,本科,其他普通师范院校,正高级
教师_52,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_53,高中,越秀区,社会人员,本科,其他高校,副高级
教师_54,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_55,小学,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_56,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_57,高中,白云区,社会人员,本科,其他高校,正高级
教师_58,小学,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_59,初中,白云区,应届毕业生,硕士,其他高校,副高级
教师_60,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_61,小学,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_62,小学,白云区,应届毕业生,本科,部属师范院校（除北京师范大学）,副高级
教师_63,高中,白云区,应届毕业生,本科,其他高校,副高级
教师_64,小学,越秀区,社会人员,本科,其他高校,副高级
教师_65,小学,白云区,社会人员,本科,北京师范大学,中级及以下
教师_66,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_67,高中,白云区,社会人员,博士,其他高校,副高级
教师_68,小学,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_69,高中,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_70,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_71,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_72,初中,白云区,应届毕业生,硕士,其他高校,副高级
教师_73,高中,越秀区,应届毕业生,硕士,其他高校,中级及以下
教师_74,初中,越秀区,应届毕业生,本科,其他普通师范院校,副高级
教师_75,高中,白云区,应届毕业生,本科,部属师范院校（除北京师范大学）,中级及以下
教师_76,小学,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_77,小学,白云区,社会人员,本科,其他高校,中级及以下
教师_78,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_79,小学,白云区,社会人员,硕士,北大,中级及以下
教师_80,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_81,初中,白云区,社会人员,本科,北京师范大学,副高级
教师_82,初中,白云区,应届毕业生,本科,其他高校,正高级
教师_83,小学,越秀区,应届毕业生,本科,其他高校,中级及以下
教师_84,高中,越秀区,社会人员,本科,清华,副高级
教师_85,初中,白云区,社会人员,硕士,清华,中级及以下
教师_86,小学,越秀区,社会人员,硕士,其他普通师范院校,中级及以下
教师_87,初中,白云区,应届毕业生,硕士,其他高校,中级及以下
教师_88,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_89,初中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_90,高中,白云区,应届毕业生,本科,部属师范院校（除北京师范大学）,中级及以下
教师_91,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_92,高中,越秀区,社会人员,本科,其他普通师范院校,副高级
教师_93,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_94,高中,越秀区,应届毕业生,本科,其他高校,中级及以下
教师_95,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_96,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_97,初中,越秀区,社会人员,本科,北京师范大学,副高级
教师_98,小学,白云区,社会人员,硕士,其他高校,中级及以下
教师_99,高中,越秀区,社会人员,本科,其他高校,中级及以下
教师_100,小学,白云区,社会人员,本科,其他高校,中级及以下
教师_101,高中,白云区,社会人员,硕士,其他普通师范院校,中级及以下
教师_102,小学,白云区,社会人员,本科,其他普通师范院校,副高级
教师_103,高中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_104,高中,白云区,社会人员,硕士,其他普通师范院校,副高级
教师_105,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_106,初中,越秀区,社会人员,硕士,其他普通师范院校,中级及以下
教师_107,初中,越秀区,应届毕业生,本科,其他高校,中级及以下
教师_108,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_109,小学,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_110,高中,白云区,社会人员,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_111,初中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,正高级
教师_112,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_113,高中,白云区,社会人员,硕士,其他普通师范院校,中级及以下
教师_114,小学,越秀区,社会人员,本科,清华,副高级
教师_115,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_116,初中,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_117,高中,白云区,应届毕业生,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_118,初中,白云区,社会人员,硕士,其他高校,中级及以下
教师_119,高中,越秀区,应届毕业生,本科,北京师范大学,副高级
教师_120,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_121,高中,白云区,社会人员,硕士,其他高校,中级及以下
教师_122,初中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_123,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_124,初中,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_125,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_126,初中,白云区,社会人员,本科,其他高校,副高级
教师_127,小学,白云区,社会人员,本科,清华,中级及以下
教师_128,初中,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_129,高中,白云区,应届毕业生,硕士,其他高校,正高级
教师_130,小学,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,副高级
教师_131,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_132,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_133,小学,白云区,应届毕业生,硕士,其他普通师范院校,正高级
教师_134,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_135,初中,白云区,社会人员,本科,其他普通师范院校,正高级
教师_136,初中,白云区,应届毕业生,硕士,其他高校,中级及以下
教师_137,初中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_138,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_139,高中,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_140,初中,白云区,社会人员,本科,其他高校,正高级
教师_141,高中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_142,初中,白云区,应届毕业生,硕士,其他高校,中级及以下
教师_143,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_144,高中,越秀区,社会人员,硕士,其他普通师范院校,副高级
教师_145,高中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_146,高中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_147,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_148,高中,越秀区,应届毕业生,硕士,其他高校,中级及以下
教师_149,高中,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,副高级
教师_150,高中,越秀区,应届毕业生,本科,其他普通师范院校,副高级
教师_151,小学,白云区,社会人员,硕士,其他普通师范院校,副高级
教师_152,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_153,小学,越秀区,社会人员,硕士,其他高校,中级及以下
教师_154,初中,白云区,应届毕业生,本科,其他普通师范院校,正高级
教师_155,小学,白云区,应届毕业生,本科,部属师范院校（除北京师范大学）,副高级
教师_156,高中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_157,高中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_158,初中,越秀区,应届毕业生,本科,其他高校,副高级
教师_159,初中,越秀区,社会人员,硕士,其他普通师范院校,副高级
教师_160,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_161,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_162,初中,白云区,社会人员,硕士,其他普通师范院校,中级及以下
教师_163,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_164,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_165,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_166,高中,白云区,社会人员,硕士,其他高校,中级及以下
教师_167,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_168,初中,越秀区,社会人员,本科,其他高校,副高级
教师_169,高中,白云区,社会人员,博士,其他普通师范院校,中级及以下
教师_170,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_171,初中,越秀区,社会人员,本科,清华,副高级
教师_172,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_173,小学,白云区,应届毕业生,本科,其他高校,副高级
教师_174,小学,越秀区,社会人员,本科,其他高校,副高级
教师_175,高中,白云区,社会人员,博士,其他普通师范院校,副高级
教师_176,小学,白云区,应届毕业生,硕士,其他高校,中级及以下
教师_177,初中,白云区,应届毕业生,本科,北大,中级及以下
教师_178,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_179,高中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_180,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_181,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,正高级
教师_182,初中,越秀区,应届毕业生,本科,其他普通师范院校,副高级
教师_183,初中,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,副高级
教师_184,小学,白云区,应届毕业生,本科,其他高校,中级及以下
教师_185,高中,越秀区,社会人员,本科,其他高校,中级及以下
教师_186,初中,白云区,社会人员,本科,其他高校,正高级
教师_187,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_188,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_189,高中,白云区,社会人员,硕士,其他高校,中级及以下
教师_190,初中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_191,初中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_192,小学,越秀区,应届毕业生,硕士,其他普通师范院校,副高级
教师_193,小学,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_194,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_195,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_196,初中,越秀区,社会人员,本科,其他高校,中级及以下
教师_197,小学,白云区,社会人员,本科,其他普通师范院校,正高级
教师_198,小学,白云区,应届毕业生,本科,北大,中级及以下
教师_199,小学,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_200,初中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_201,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_202,高中,越秀区,社会人员,本科,其他高校,副高级
教师_203,初中,越秀区,社会人员,本科,其他高校,副高级
教师_204,小学,白云区,应届毕业生,博士,其他普通师范院校,中级及以下
教师_205,小学,白云区,应届毕业生,本科,其他高校,中级及以下
教师_206,小学,越秀区,应届毕业生,硕士,其他普通师范院校,中级及以下
教师_207,高中,白云区,社会人员,硕士,其他普通师范院校,中级及以下
教师_208,初中,越秀区,社会人员,本科,其他高校,中级及以下
教师_209,初中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_210,高中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_211,高中,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_212,小学,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,副高级
教师_213,高中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_214,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_215,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_216,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_217,初中,越秀区,应届毕业生,硕士,部属师范院校（除北京师范大学）,正高级
教师_218,初中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_219,初中,白云区,应届毕业生,本科,部属师范院校（除北京师范大学）,中级及以下
教师_220,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_221,初中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_222,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_223,小学,越秀区,社会人员,本科,其他高校,中级及以下
教师_224,高中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_225,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_226,高中,越秀区,应届毕业生,硕士,其他普通师范院校,副高级
教师_227,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_228,小学,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_229,高中,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,正高级
教师_230,高中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_231,小学,白云区,社会人员,本科,其他高校,中级及以下
教师_232,小学,白云区,应届毕业生,本科,其他高校,中级及以下
教师_233,初中,白云区,应届毕业生,本科,清华,正高级
教师_234,小学,白云区,社会人员,本科,其他高校,副高级
教师_235,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_236,初中,白云区,社会人员,硕士,其他高校,中级及以下
教师_237,初中,白云区,社会人员,本科,北大,正高级
教师_238,初中,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_239,小学,白云区,社会人员,本科,清华,中级及以下
教师_240,初中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_241,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_242,小学,白云区,社会人员,硕士,其他高校,中级及以下
教师_243,初中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_244,小学,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,副高级
教师_245,高中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_246,初中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_247,初中,越秀区,社会人员,本科,其他高校,中级及以下
教师_248,小学,白云区,社会人员,本科,其他普通师范院校,副高级
教师_249,小学,越秀区,应届毕业生,硕士,其他高校,正高级
教师_250,初中,越秀区,社会人员,硕士,其他高校,中级及以下
教师_251,初中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_252,高中,越秀区,社会人员,本科,其他高校,中级及以下
教师_253,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_254,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_255,高中,白云区,社会人员,本科,其他高校,副高级
教师_256,小学,白云区,社会人员,本科,其他高校,副高级
教师_257,初中,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_258,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_259,高中,越秀区,社会人员,本科,其他普通师范院校,中级及以下
教师_260,小学,白云区,社会人员,本科,其他高校,中级及以下
教师_261,小学,越秀区,社会人员,本科,其他高校,正高级
教师_262,小学,越秀区,社会人员,硕士,其他高校,中级及以下
教师_263,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_264,高中,越秀区,社会人员,本科,其他普通师范院校,副高级
教师_265,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_266,高中,白云区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_267,小学,白云区,社会人员,本科,其他高校,副高级
教师_268,初中,越秀区,应届毕业生,本科,其他高校,副高级
教师_269,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_270,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_271,高中,白云区,社会人员,本科,其他普通师范院校,副高级
教师_272,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_273,初中,白云区,应届毕业生,硕士,其他普通师范院校,中级及以下
教师_274,高中,越秀区,社会人员,本科,其他普通师范院校,副高级
教师_275,小学,白云区,社会人员,本科,其他普通师范院校,正高级
教师_276,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_277,高中,白云区,应届毕业生,本科,其他高校,副高级
教师_278,高中,白云区,社会人员,硕士,其他普通师范院校,副高级
教师_279,初中,越秀区,社会人员,本科,其他普通师范院校,副高级
教师_280,高中,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,副高级
教师_281,小学,白云区,社会人员,本科,其他高校,副高级
教师_282,高中,越秀区,社会人员,本科,北京师范大学,副高级
教师_283,初中,白云区,应届毕业生,硕士,其他高校,中级及以下
教师_284,小学,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_285,初中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_286,小学,白云区,社会人员,博士,部属师范院校（除北京师范大学）,中级及以下
教师_287,高中,白云区,应届毕业生,硕士,其他高校,副高级
教师_288,初中,越秀区,社会人员,博士,其他高校,副高级
教师_289,初中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_290,初中,白云区,社会人员,本科,其他高校,中级及以下
教师_291,初中,白云区,社会人员,硕士,北大,中级及以下
教师_292,小学,白云区,应届毕业生,本科,其他高校,中级及以下
